,A,9871,10873,12101,12021,13050,14567,12948,10735,13935,11454,19481,13139,"Read 1:488,540"
,,8885,11626,11003,11952,12204,13548,13736,12601,12369,14631,18443,13663,"Read 2:488,540"
,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,[Concentration2]
,B,11185,10724,14602,17618,22823,10767,21364,19013,15022,11736,24497,16547,"Read 1:488,540"
,,12643,10870,13562,12681,17049,10221,15961,14629,15454,7968,17230,15910,"Read 2:488,540"
,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,[Concentration2]
,C,12256,11981,15429,11332,11687,15264,12034,15950,14561,15139,12405,12266,"Read 1:488,540"
,,11572,10847,15653,11050,13933,13502,11637,14445,15741,13963,11902,15309,"Read 2:488,540"
,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,[Concentration2]
,D,12915,13313,11775,14826,15980,14043,15275,14706,11332,12101,13599,14083,"Read 1:488,540"
,,14836,13083,12687,16330,14011,13876,14913,15982,13259,12807,14257,15812,"Read 2:488,540"
,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,[Concentration2]
,E,6480,4603,10428,13226,14359,9027,8087,11061,13956,9656,11497,9187,"Read 1:488,540"
,,6055,4104,10427,12358,14823,8879,8393,10360,14848,9805,12231,9796,"Read 2:488,540"
,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,[Concentration2]
,F,27666,28389,25194,29743,26224,12201,12721,333,1380,1085,553,331,"Read 1:488,540"
,,27661,30679,30027,34666,28433,19508,7713,342,1979,913,620,355,"Read 2:488,540"
,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,[Concentration2]
,G,26910,27038,26033,29375,28573,16591,7322,4935,2480,913,756,334,"Read 1:488,540"
,,26454,31312,28934,33866,26394,13581,6702,5894,1590,823,906,315,"Read 2:488,540"
,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,[Concentration2]
,H,20785,19252,13563,7711,4926,1402,22662,19978,10415,8054,2403,1702,"Read 1:488,540"
,,18904,17764,14871,6809,5050,1241,20468,17819,9132,7966,2758,1888,"Read 2:488,540"
,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,[Concentration2]
,,,,,,,,,,,,,,
StdCurve2x,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
StdCurve2x Fitting Results,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Curve Name,Curve Formula,A,B,R2,Fit F Prob,,,,,,,,
,StdCurve2x,Y=A*X+B,#N/A,#N/A,#N/A,#N/A,,,,,,,,
