,A,12938,15674,10886,11257,13283,12276,342,12947,16278,15171,15932,20416,"Read 1:488,540"
,,12314,14678,10605,10455,12790,12383,355,13544,15967,14612,15841,19524,"Read 2:488,540"
,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,[Concentration2]
,B,16826,14047,9807,11285,10878,10563,10221,10411,10633,15797,11732,15145,"Read 1:488,540"
,,16899,14497,10156,12610,11004,11264,10647,10678,10398,14492,12783,14848,"Read 2:488,540"
,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,[Concentration2]
,C,13048,12151,10489,12732,11484,10964,11770,10570,10817,11582,13537,13284,"Read 1:488,540"
,,11682,13408,10598,13139,12487,11549,11157,10267,10907,11988,13209,13468,"Read 2:488,540"
,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,[Concentration2]
,D,13737,12031,13079,15541,333,15489,13924,12926,16002,15150,15396,344,"Read 1:488,540"
,,14179,12654,13974,15650,322,14347,14508,13536,15497,15134,14764,363,"Read 2:488,540"
,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,[Concentration2]
,E,12698,13995,11202,11827,13422,11479,14595,11928,12799,12555,13844,10226,"Read 1:488,540"
,,11855,14534,13064,12663,13611,11800,14563,12441,14752,12206,13860,10396,"Read 2:488,540"
,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,[Concentration2]
,F,11578,11975,13387,12428,13110,12067,12308,9389,14603,13922,13036,14297,"Read 1:488,540"
,,11819,12757,14721,13309,13697,12553,12486,11478,17445,13992,15406,13738,"Read 2:488,540"
,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,[Concentration2]
,G,14506,13896,15576,11891,13465,14723,13488,15844,14023,16268,15754,14211,"Read 1:488,540"
,,15206,14401,15732,12027,13410,13992,13854,16616,14370,16258,16226,14818,"Read 2:488,540"
,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,[Concentration2]
,H,16265,12574,15495,16075,13674,18764,11383,13736,16728,17241,15727,15390,"Read 1:488,540"
,,16505,12596,15308,16434,13281,18624,11769,13060,17566,18357,17243,16354,"Read 2:488,540"
,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,[Concentration2]
,,,,,,,,,,,,,,
StdCurve2x,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
StdCurve2x Fitting Results,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Curve Name,Curve Formula,A,B,R2,Fit F Prob,,,,,,,,
,StdCurve2x,Y=A*X+B,#N/A,#N/A,#N/A,#N/A,,,,,,,,
